LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
2,[INFO],System exit requested by ServiceUtils,e133f60d,System exit requested by ServiceUtils,[],4cc5aad5_2
3,[INFO],Proposal statistics updated with last buffer size: 1024,f11b2453,Proposal statistics updated with last buffer size: <*>,['1024'],4cc5aad5_2
4,[INFO],Quorum verifier added successfully,05093525,Quorum verifier added successfully,[],4cc5aad5_2
5,[INFO],Proposal count incremented in server metrics,13f5afbc,Proposal count incremented in server metrics,[],4cc5aad5_2
1,[INFO],Processing sync request from LearnerSyncRequest,37d6fb6a,Processing sync request from LearnerSyncRequest,[],6f2b4c33_1
2,[DEBUG],Forwarding request to next processor,d86bb3ef,Forwarding request to next processor,[],6f2b4c33_1
3,[INFO],Proposing transaction for consensus,7e1ba404,Proposing transaction for consensus,[],6f2b4c33_1
4,[ERROR],"XidRolloverException occurred, throwing RequestProcessorException",e25c3721,"XidRolloverException occurred, throwing RequestProcessorException",[],6f2b4c33_1
5,[ERROR],Throttled request send as proposal: Exiting.,d3e34bc9,Throttled request send as proposal: Exiting.,[],6f2b4c33_1
6,[DEBUG],Proposing:: TransactionProposal,1b3b56cb,Proposing:: TransactionProposal,[],6f2b4c33_1
1,[WARN],"Closing connection to leader, exception during packet send",939e92d1,"Closing connection to leader, exception during packet send",[],5895bdfa_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",59424e85_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],59424e85_1
1,[INFO],Processing sync request from LearnerSyncRequest,37d6fb6a,Processing sync request from LearnerSyncRequest,[],59424e85_2
2,[DEBUG],Forwarding request to next processor,d86bb3ef,Forwarding request to next processor,[],59424e85_2
3,[INFO],Proposing transaction for consensus,7e1ba404,Proposing transaction for consensus,[],59424e85_2
4,[ERROR],"XidRolloverException occurred, throwing RequestProcessorException",e25c3721,"XidRolloverException occurred, throwing RequestProcessorException",[],59424e85_2
5,[ERROR],Throttled request send as proposal: Exiting.,d3e34bc9,Throttled request send as proposal: Exiting.,[],59424e85_2
6,[DEBUG],Proposing:: transaction,74691683,Proposing:: transaction,[],59424e85_2
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",63d68207_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],63d68207_1
1,[DEBUG],"Log size limit reached: 1024, 2048",0ced69e9,"Log size limit reached: <*>, <*>","['1024', '2048']",ddf273fc_1
2,[DEBUG],rollLog,433fc242,rollLog,[],ddf273fc_1
1,[DEBUG],"Log size limit reached: 1024, 2048",0ced69e9,"Log size limit reached: <*>, <*>","['1024', '2048']",8e7e1981_1
2,[DEBUG],rollLog,433fc242,rollLog,[],8e7e1981_1
1,[ERROR],Failed to get a response from model 'gpt-4o' after multiple retries,18b38e25,Failed to get a response from model <*> after multiple retries,"[""'gpt-4o'""]",e2a7bdaf_1
1,[INFO],SyncRequestProcessor exited!,7f667bb2,SyncRequestProcessor exited!,[],1ada5259_1
2,[WARN],Current zxid 100 is <= 200 for CREATE,e7006b39,Current zxid <*> is <= <*> for CREATE,"['100', '<= 200']",1ada5259_1
3,[DEBUG],Creating new log file: log.100,53c73c05,Creating new log file: log.<*>,['100'],1ada5259_1
1,[INFO],SyncRequestProcessor exited!,7f667bb2,SyncRequestProcessor exited!,[],1ada5259_2
1,[INFO],Processing sync request from LearnerSyncRequest,37d6fb6a,Processing sync request from LearnerSyncRequest,[],1ada5259_3
1,[DEBUG],Forwarding request to next processor,d86bb3ef,Forwarding request to next processor,[],1ada5259_4
2,[INFO],Proposing transaction for consensus,7e1ba404,Proposing transaction for consensus,[],1ada5259_4
3,[ERROR],"XidRolloverException occurred, throwing RequestProcessorException",e25c3721,"XidRolloverException occurred, throwing RequestProcessorException",[],1ada5259_4
4,[ERROR],Throttled request send as proposal: 300. Exiting.,6eef2aaa,Throttled request send as proposal: <*>. Exiting.,['300'],1ada5259_4
5,[DEBUG],Proposing:: 400,e4f92e5b,Proposing:: <*>,['400'],1ada5259_4
1,[INFO],"Initialize file found, an empty database will not block voting participation",6759d06a,"Initialize file found, an empty database will not block voting participation",[],79b6e40a_1
2,[ERROR],Something is broken! Empty snapshot warning,00fa770b,Something is broken! Empty snapshot warning,[],79b6e40a_1
3,[WARN],This should only be allowed during upgrading. Empty snapshot warning,7aa4fd38,This should only be allowed during upgrading. Empty snapshot warning,[],79b6e40a_1
4,[WARN],"Unexpected empty data tree, setting zxid to -1",5d24db8e,"Unexpected empty data tree, setting zxid to -<*>",['1'],79b6e40a_1
1,[INFO],"Initialize file found, an empty database will not block voting participation",6759d06a,"Initialize file found, an empty database will not block voting participation",[],57dfbaa4_1
2,[WARN],This should only be allowed during upgrading.,3022f455,This should only be allowed during upgrading.,[],57dfbaa4_1
3,[WARN],"Unexpected empty data tree, setting zxid to -1",5d24db8e,"Unexpected empty data tree, setting zxid to -<*>",['1'],57dfbaa4_1
4,[INFO],"Snapshot loaded in 150 ms, highest zxid is 0x123456, digest is abcdef123456",8c19bc97,"Snapshot loaded in <*> ms, highest zxid is <*>x<*>, digest is abcdef<*>","['150', '0x123456', '123456']",57dfbaa4_1
1,[INFO],Started writing long value to file,b85caa55,<*> writing long value to file,['Started'],8eee06b0_1
2,[INFO],Accessing snapshot directory,3cbad69a,Accessing snapshot directory,[],8eee06b0_1
3,[INFO],Snapshot directory accessed successfully,affe0b2b,Snapshot directory accessed successfully,[],8eee06b0_1
4,[INFO],Exiting snapshot directory access,f09c116d,Exiting snapshot directory access,[],8eee06b0_1
5,[INFO],Finished writing long value to file,b85caa55,<*> writing long value to file,['Finished'],8eee06b0_1
1,[INFO],"Initialize file found, an empty database will not block voting participation",6759d06a,"Initialize file found, an empty database will not block voting participation",[],b6870033_1
2,[WARN],This should only be allowed during upgrading,3e4ed47a,This should only be allowed during upgrading,[],b6870033_1
3,[WARN],"Unexpected empty data tree, setting zxid to -1",5d24db8e,"Unexpected empty data tree, setting zxid to -<*>",['1'],b6870033_1
4,[INFO],"Snapshot loaded in 150 ms, highest zxid is 0x12345, digest is abcdef123456",8c19bc97,"Snapshot loaded in <*> ms, highest zxid is <*>x<*>, digest is abcdef<*>","['150', '0x12345', '123456']",b6870033_1
1,[INFO],Writing long value to file /snapshots/snapDir,6a2aa078,Writing long value to file <*>,['/snapshots/snapDir'],b6870033_2
2,[INFO],Accessing snapshot directory /snapshots/snapDir,f78e9c70,Accessing snapshot directory <*>,['/snapshots/snapDir'],b6870033_2
3,[INFO],Snapshot directory accessed successfully,affe0b2b,Snapshot directory accessed successfully,[],b6870033_2
4,[INFO],Write operation completed,dc8dbefc,Write operation completed,[],b6870033_2
1,[INFO],"Binding to port 8080, localAddress 192.168.1.1",75342a10,"<*> to port <*>, localAddress <*>.<*>.<*>.<*>","['Binding', '8080', '192', '168.1.1']",609e0468_1
2,[INFO],"Bound to port 8080, localAddress 192.168.1.1",75342a10,"<*> to port <*>, localAddress <*>.<*>.<*>.<*>","['Bound', '8080', '192', '168.1.1']",609e0468_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",5102e67b_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],5102e67b_1
1,[INFO],"Initialize file found, an empty database will not block voting participation",6759d06a,"Initialize file found, an empty database will not block voting participation",[],b67946c5_1
2,[WARN],This should only be allowed during upgrading,3e4ed47a,This should only be allowed during upgrading,[],b67946c5_1
3,[WARN],"Unexpected empty data tree, setting zxid to -1",5d24db8e,"Unexpected empty data tree, setting zxid to -<*>",['1'],b67946c5_1
4,[INFO],"Snapshot loaded in 500 ms, highest zxid is 0x12345, digest is abcdef1234567890",8c19bc97,"Snapshot loaded in <*> ms, highest zxid is <*>x<*>, digest is abcdef<*>","['500', '0x12345', '1234567890']",b67946c5_1
1,[ERROR],Election Algorithm 1 is not supported.,a0eda635,Election Algorithm <*> is not supported.,['1'],38fc44ff_1
2,[ERROR],Election Algorithm 2 is not supported.,a0eda635,Election Algorithm <*> is not supported.,['2'],38fc44ff_1
1,[WARN],Clobbering already-set QuorumCnxManager (restarting leader election?),8685f2b2,Clobbering already-set QuorumCnxManager (restarting leader election?),[],38fc44ff_2
2,[ERROR],Null listener when initializing cnx manager,1ebaec33,Null listener when initializing cnx manager,[],38fc44ff_2
1,[INFO],Election algorithm returned successfully.,ccee6c09,Election algorithm returned successfully.,[],38fc44ff_3
1,[INFO],"Initialize file found, an empty database will not block voting participation",6759d06a,"Initialize file found, an empty database will not block voting participation",[],74e160b2_1
2,[WARN],This should only be allowed during upgrading.,3022f455,This should only be allowed during upgrading.,[],74e160b2_1
3,[WARN],"Unexpected empty data tree, setting zxid to -1",5d24db8e,"Unexpected empty data tree, setting zxid to -<*>",['1'],74e160b2_1
1,[WARN],Clobbering already-set QuorumCnxManager (restarting leader election?),8685f2b2,Clobbering already-set QuorumCnxManager (restarting leader election?),[],74e160b2_2
2,[ERROR],Null listener when initializing cnx manager,1ebaec33,Null listener when initializing cnx manager,[],74e160b2_2
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",1ec2600f_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],1ec2600f_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",8d050e40_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],8d050e40_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",2bf7ad80_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],2bf7ad80_1
1,[DEBUG],Initializing leader election protocol...,d51c79d6,Initializing leader election protocol...,[],4b7a8763_1
1,[WARN],"Exception when observing the leader, e",974f2246,"Exception when observing the leader, e",[],4cd3addc_1
1,[INFO],Shutdown observer process initiated,c6b7e4a2,Shutdown observer process initiated,[],a435f286_1
1,[INFO],Fetched 1024MB block from https://namenode:8020,ec915a36,Fetched <*>MB block from https:<*>:<*>,"['1024', '//namenode:8020']",87459097_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],87459097_1
1,[INFO],Follower node shutdown initiated,e40be5fc,Follower node shutdown <*>,['initiated'],cd4c5ecf_1
2,[INFO],Follower node shutdown completed,e40be5fc,Follower node shutdown <*>,['completed'],cd4c5ecf_1
1,[INFO],Shutting down,6a7eb108,Shutting down,[],3b349e70_1
2,[INFO],"Shutdown called. For the reason ""Maintenance""",2d018faa,Shutdown called. For the reason <*>,"['""Maintenance""']",3b349e70_1
3,[INFO],LEADING - LEADER ELECTION TOOK - 500ms MILLISECONDS,ff373046,LEADING - LEADER ELECTION TOOK - <*>ms MILLISECONDS,['500'],3b349e70_1
4,[INFO],NEWLEADER proposal has Zxid of 0x1a2b3c4d,39c8754b,NEWLEADER proposal has Zxid of <*>x<*>a<*>b<*>c<*>d,"['0x1', '2b3', '4']",3b349e70_1
1,[INFO],Shutting down,6a7eb108,Shutting down,[],61c3ab25_1
1,[INFO],Shutting down,6a7eb108,Shutting down,[],61c3ab25_2
2,[INFO],"Shutdown called. For the reason ""maintenance""",2d018faa,Shutdown called. For the reason <*>,"['""maintenance""']",61c3ab25_2
1,[INFO],Halted connection acceptor,932099f7,Halted connection acceptor,[],61c3ab25_3
2,[INFO],Set ZooKeeper server,984860a8,Set ZooKeeper server,[],61c3ab25_3
3,[INFO],Admin server set to ZooKeeper server,848ae847,Admin server set to ZooKeeper server,[],61c3ab25_3
4,[INFO],Closed all connections,04dd2ac5,Closed all connections,[],61c3ab25_3
1,[INFO],Synchronized learners,9f6db83f,Synchronized learners,[],61c3ab25_4
2,[INFO],Initialized iterator,d1179d89,Initialized iterator,[],61c3ab25_4
1,[INFO],Checked iterator condition,9834ce68,Checked iterator condition,[],61c3ab25_5
1,[DEBUG],Starting quorum peer,d459c04c,Starting quorum peer,[],94623e0f_1
2,[INFO],LEADING - Leader election took 3.14 seconds,b2011b7b,LEADING - Leader election took <*>.<*> seconds,['3.14'],94623e0f_1
3,[INFO],New leader proposal has Zxid of 0x1234abcd,77e81814,New leader proposal has Zxid of <*>x<*>abcd,['0x1234'],94623e0f_1
4,[INFO],Shutting down,6a7eb108,Shutting down,[],94623e0f_1
5,[INFO],"Shutdown called. For the reason ""Cluster maintenance""",2d018faa,Shutdown called. For the reason <*>,"['""Cluster maintenance""']",94623e0f_1
1,[INFO],"Initialize file found, an empty database will not block voting participation",6759d06a,"Initialize file found, an empty database will not block voting participation",[],e52b8c91_1
2,[INFO],"Snapshot loaded in 500 ms, highest zxid is 0x12345, digest is abcdef123456",8c19bc97,"Snapshot loaded in <*> ms, highest zxid is <*>x<*>, digest is abcdef<*>","['500', '0x12345', '123456']",e52b8c91_1
3,[WARN],This should only be allowed during upgrading,3e4ed47a,This should only be allowed during upgrading,[],e52b8c91_1
4,[WARN],"Unexpected empty data tree, setting zxid to -1",5d24db8e,"Unexpected empty data tree, setting zxid to -<*>",['1'],e52b8c91_1
5,[WARN],"Problem starting AdminServer, AdminServerException",6d0624c3,"Problem starting AdminServer, AdminServerException",[],e52b8c91_1
1,[DEBUG],Starting quorum peer,d459c04c,Starting quorum peer,[],e52b8c91_2
2,[INFO],LEADING,23719262,LEADING,[],e52b8c91_2
3,[INFO],LEADING - LEADER ELECTION TOOK - 300 ms MILLISECONDS,c515083f,LEADING - LEADER ELECTION TOOK - <*> ms MILLISECONDS,['300'],e52b8c91_2
4,[INFO],NEWLEADER proposal has Zxid of 0x12345,e441fec6,NEWLEADER proposal has Zxid of <*>x<*>,['0x12345'],e52b8c91_2
5,[INFO],Shutting down,6a7eb108,Shutting down,[],e52b8c91_2
6,[INFO],"Shutdown called. For the reason ""AdminServer failure""",2d018faa,Shutdown called. For the reason <*>,"['""AdminServer failure""']",e52b8c91_2
1,[INFO],ENTRY,5d5fa847,ENTRY,[],cefd1e81_1
2,[INFO],CALL:truncateLog,0d809cf3,CALL:truncateLog,[],cefd1e81_1
3,[INFO],EXIT,a42b2fb0,EXIT,[],cefd1e81_1
1,[INFO],Fetched 1024MB block from https://namenode:8020,ec915a36,Fetched <*>MB block from https:<*>:<*>,"['1024', '//namenode:8020']",363f5add_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],363f5add_1
1,[DEBUG],Registering Log4j MBeans,671e955b,Registering Log<*>j MBeans,['4'],e9e11bde_1
2,[ERROR],Problems while registering log4j 1.2 jmx beans!,f0564e9c,Problems while registering log<*>j <*>.<*> jmx beans!,"['4', '1.2']",e9e11bde_1
1,[ERROR],SSL isn't supported in NIOServerCnxn,dc400e49,SSL isn't supported in NIOServerCnxn,[],47640e47_1
1,[INFO],configure this secure: secure on addr addr,a7c45d2f,configure this secure: secure on addr addr,[],bfd05602_1
1,[INFO],"Configuring NIO connection handler with 10s sessionless connection timeout, 4 selector thread(s), no worker threads, and gathered writes.",40f882e5,"Configuring NIO connection handler with <*>s sessionless connection timeout, <*> selector thread(s), no worker threads, and gathered writes.","['10', '4']",e2f3e326_1
2,[INFO],binding to port 8080,b8dd8904,<*> to port <*>,"['binding', '8080']",e2f3e326_1
3,[INFO],bound to port 192.168.1.1,b8dd8904,<*> to port <*>,"['bound', '192.168.1.1']",e2f3e326_1
4,[INFO],configure secure: true on addr 192.168.1.2,82585edf,configure secure: true on addr <*>.<*>.<*>.<*>,"['192', '168.1.2']",e2f3e326_1
1,[INFO],Initialized transaction log directory at /var/log/hadoop/txnlogs,de2a8659,Initialized transaction log directory at <*>,['/var/log/hadoop/txnlogs'],8db8f97d_1
2,[ERROR],Access denied to path /var/log/hadoop/txnlogs,658cc3ae,Access denied to path <*>,['/var/log/hadoop/txnlogs'],8db8f97d_1
1,[DEBUG],Opening datadir:/var/lib/zookeeper snapDir:/var/lib/zookeeper/snapshots,23a4e53a,Opening datadir:<*> snapDir:<*>,"['/var/lib/zookeeper', '/var/lib/zookeeper/snapshots']",ed87a2b8_1
2,[INFO],ZOOKEEPER_SNAPSHOT_TRUST_EMPTY : true,b56eb472,ZOOKEEPER_SNAPSHOT_TRUST_EMPTY : true,[],ed87a2b8_1
1,[INFO],tickTime set to 3000,5ccf7096,tickTime set to <*>,['3000'],6a46fb4d_1
1,[INFO],Min session timeout set to 3000ms,c3033786,Min session timeout set to <*>ms,['3000'],2d9dd2fe_1
1,[INFO],Max session timeout set to 30000,c6663f5e,Max session timeout set to <*>,['30000'],cf3c2e79_1
1,[INFO],initLimit set to 10,29a51a82,initLimit set to <*>,['10'],23fc4e45_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",dca58180_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],dca58180_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",cb6f77de_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],cb6f77de_1
1,[DEBUG],"Database not initialized, loading database",74570f9e,"Database not initialized, loading database",[],1fa5dfad_1
2,[INFO],Last processed Zxid: 0x100000000,6b4d0cf0,Last processed Zxid: <*>x<*>,['0x100000000'],1fa5dfad_1
3,[INFO],Election algorithm created,ce18d282,Election algorithm created,[],1fa5dfad_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",57e09361_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],57e09361_1
