EventTemplate,AdldEventId
Fetched user information for hadoop_user,1019
Executing fsck operation on path <*>,1020
File system check completed successfully,1021
InterruptedException occurred during fsck operation,1022
Error sent to error handler,1023
Configuring job jar,1024
New instance created,1025
Removed node from stale list,1026
Dumped stale nodes,1027
Removed dead datanode,1028
Released write lock,1029
Removed blocks associated to dead datanode,1030
Balance succeed!,1031
"Balance failed, error code: -<*>",1032
"Finished one round, will wait for <*> for next round",1033
Balancer already running as a long-service!,1034
Starting phase for saving namespace,1035
No image directories available!,1036
Failed to save in any storage directories while saving namespace.,1037
Creating new FSImageSaver thread,1038
Waiting for threads to complete,1039
Clearing save threads,1040
Reporting errors on directories,1041
"Checkpoint cancelled, deleting checkpoint",1042
Renaming checkpoint,1043
Purging old storage,1044
Purging checkpoints,1045
"Updating file xattrs for re-encrypting zone <*><*>, starting at <*><*><*><*>",1046
Updating <*> for re-encryption.,1047
"INode <*> doesn't exist, skipping re-encrypt.",1048
"Inode <*> EZ key changed, skipping re-encryption.",1049
"Inode <*> EZ key version unchanged, skipping re-encryption.",1050
"Inode <*> existing edek changed, skipping re-encryption",1051
"Updated xattrs on <*>(<*>) files in zone <*><*> for re-encryption, starting:<*><*><*><*>",1052
Falling back to getSnapshotDiffReport RpcNoSuchMethodException: Method not found,1053
Inconsistent number of corrupt replicas for block_<*> + blockMap has <*> but corrupt replicas map has <*>,1054
Acquired write lock for safe mode transition,1055
Stopped secret manager for safe mode,1056
Edit log is open for write: <*>,1057
Synced all edit logs,1058
Set manual and resource low safe mode,1059
State change logged: Safe mode is ON.,1060
Released write lock for safe mode transition,1061
Safe mode tip. <*>,1062
Safe mode tip.,1063
Safe mode is ON. Safe mode tip.,1064
logSyncAll toSyncToTxId=<*> lastSyncedTxid=<*> mostRecentTxid=<*>,1065
Done logSyncAll lastWrittenTxId=<*> lastSyncedTxid=<*> mostRecentTxid=<*>,1066
Number of suppressed write-lock reports: <*> Longest write-lock held at <*>:<*>:<*> for <*>ms via stacktrace Total suppressed write-lock held time: <*>,1067
User hadoop_user authenticated successfully,1068
Executing operation getFileInfo on path <*>,1069
Operation getFileInfo completed successfully,1070
"Audit log for operation: listEncryptionZones, success: true",1071
Start moving <*>,1072
Successfully moved <*>,1073
Cancel moving <*> as iteration is already cancelled due to dfs.balancer.max-iteration-time is passed.,1074
Failed to move <*> <*>,1075
Start moving + this,1076
"SASL encryption trust check: localHostTrusted = true, remoteHostTrusted = false",1077
"SASL client doing unsecured handshake for addr = /<*>.<*>.<*>.<*>:<*>, datanodeId = <*>.<*>.<*>.<*>:<*>",1078
Successfully moved + this,1079
Ignoring exception while closing socket,1080
this activateDelay <*>.<*> seconds,1081
Closing DFSClient connection to namenode<*>,1082
Multiple IOExceptions occurred during DFSClient close operation,1083
DFSClient closed successfully,1084
Disk Balancer - No such plan. Cancel plan failed. PlanID: plan-<*>,1085
The policy name already exists,1086
A policy with same schema and cell size already exists,1087
Added erasure coding policy,1088
Created key provider URI: https:<*>:<*><*>,1089
Successfully put key into key provider,1090
DFSConfigKeys.DFS_DATANODE_FILEIO_PROFILING_SAMPLING_PERCENTAGE_KEY set to <*>. <*> file IO profiling,1091
Successfully fetched client mmap for block <*><*>,1092
Short-circuit cache operation completed successfully,1093
Fetched datanode report from namenode<*>,1094
Sorted datanode usage percentages,1095
Calculated square root of usage variance,1096
Updated innerInfo with datanode metrics,1097
Cannot get the live nodes: Connection timed out,1098
RetryCache operation completed successfully,1099
Resolved path <*> to block ID <*>,1100
Analyzed file state for block ID <*>,1101
Retry block found with <*> locations,1102
Set expected locations for block ID <*>,1103
Computed file size as <*>MB,1104
Created located block for block ID <*>,1105
"No retry block found, creating new block",1106
Committed last block and created new block ID <*>,1107
Saved allocated block ID <*>,1108
Persisted new block ID <*>,1109
Retrieved stored block ID <*>,1110
checkOpen: masked=<*>,1111
Can't register DN datanode-<*> because it is already registered.,1112
Registered DN datanode-<*> (<*>.<*>.<*>.<*>:<*>).,1113
Fetched file list from <*> using scanAndCollectFiles,1114
Successfully collected <*> files for processing,1115
Created ugi: hadoop_user for username: hadoop_user,1116
Stale nodes detected: <*>,1117
Error in setting outputbuffer capacity,1118
Loading InMemoryAliasMapReader for block pool id block_pool_<*>,1119
Set ready to flush for block <*><*>,1120
Flushed and synced <*>MB block to namenode<*>,1121
Closed block <*><*> successfully,1122
Loading inode references,1123
Loaded <*> inode references,1124
Shuffled target types for processing,1125
Matched datanode cluster<*> with source datanode<*> and target datanode<*>,1126
Pending move added for block <*>,1127
Executed pending move for block <*>,1128
Processing completed for target types,1129
Volume usage (<*>) is greater than capacity (<*>). Setting volume usage to the capacity,1130
Closed edit log successfully,1131
Storage closed successfully,1132
Cached block <*> at <*>,1133
Completed caching block <*>,1134
Router is running now,1135
Pause monitor started,1136
Jvm metrics set,1137
Out of space: The volume with the most available space (=<*> B) is less than the block size (=<*> B).,1138
The volume with the available space (=<*> B) is less than the block size (=<*> B).,1139
Exception occurred while compiling report,1140
FETCH_FAILED,1141
The volume<*> with the available space (=<*> B) is less than the block size (=<*> B).,1142
Deleting block_<*> replica <*><*>,1143
Permission set to READ|WRITE for path <*> by user hadoop_user,1144
Permission update completed successfully for pool data_pool_<*>,1145
verifyJournalRequest succeeded,1146
getBNImage().journal succeeded,1147
Created proxy for namenode at https:<*>:<*>,1148
Retrieved proxy for pool data_pool_<*>,1149
Registering <*> for READ,1150
End of the phase: data_processing_phase,1151
Starting removeAclEntries,1152
Access control exception in removeAclEntries,1153
ACL entries removed successfully,1154
Audit log updated,1155
Successfully added dependent nodes to excluded nodes for pool data_pool_<*>,1156
Reading block information from namenode<*>,1157
Successfully read block metadata for <*>,1158
"nextBlock(storage_<*>, bp_<*>): advancing from <*><*> to next subdirectory.",1159
"nextBlock(storage_<*>, bp_<*>): advancing to block_<*>",1160
"nextBlock(storage_<*>, bp_<*>): block id <*> found in invalid directory. Expected directory: <*> Actual directory: <*>",1161
"removeDirective of <*> failed: , e",1162
removeDirective of <*> successful.,1163
The storage policy of <*> is unspecified,1164
The storage policy of <*>: COLD,1165
BlockStoragePolicy is not supported for filesystem hdfs on path <*>,1166
HdfsFileStatus is not supported for filesystem hdfs on path <*>,1167
File<*> does not exist: <*>,1168
Failed to read file status due to I<*> error,1169
Block:<*> found in invalid directory. Expected directory:<*> Actual directory:<*>,1170
Performing recovery in <*> and <*>,1171
Unable to delete dir <*> before rename,1172
Unable to delete <*>,1173
Unable to rename <*> to <*>,1174
Encryption zone created successfully at <*>,1175
Encryption zone permissions set to READ|WRITE for user hadoop_user,1176
Opened streaming server at <*>.<*>.<*>.<*>:<*>,1177
Listening on UNIX domain socket: <*>,1178
No storage nodes available,1179
Synchronized cluster map with <*> nodes,1180
Writer node not found in cluster map,1181
Calculated network distance between nodes: <*> hops,1182
Writer node found in cluster map,1183
Caught exception when adding block pool data_pool_<*>,1184
"Added volume - <*>, StorageType: SSD",1185
Fetched volume info for volume_<*>,1186
Volume info retrieval completed successfully,1187
Failed to abort file: <*><*> with inode: <*>,1188
Failed to abort file due to lease timeout,1189
Acquired infoLock for synchronization,1190
Building block metadata for <*>,1191
Setting dropBehind flag to true for block <*>,1192
Closing current block readers for <*>,1193
"operation=false, path=<*>, perm=READ|WRITE",1194
"operation=true, path=<*>, perm=READ|WRITE",1195
File <*> is accessible,1196
Reading line from file <*>,1197
Cleaning up resources for file <*>,1198
Converted data to array,1199
Array size: <*>,1200
Returning processed data,1201
Exiting execution,1202
Preconditions checkState successful,1203
Fetched current ID <*>,1204
Retrieved token sequence number <*>,1205
Processed <*> <*> from state,1206
Added key key_<*> to state,1207
Initialized DelegationTokenIdentifier with sequence <*>,1208
Added persisted delegation token token_<*>,1209
Incremented counter to <*>,1210
newInfo = <*>,1211
Cannot open filename <*>,1212
Blocklist for <*> has changed!,1213
Using striped block reconstruction; pool threads=<*>,1214
Created file status for <*> with permissions READ|WRITE,1215
File status successfully returned for <*>,1216
Preconditions.checkNotNull succeeded for SlowPeerTracker,1217
Fetched JSON data from SlowPeerTracker,1218
Hard links broken successfully for block <*>,1219
Replica copied with new block ID <*> and generation stamp <*>,1220
Block <*> truncated to size <*>MB,1221
Fetched block <*> from namenode<*>,1222
Datanode datanode<*> is not a valid cache location for block <*> because that node does not have a backing replica!,1223
STATE* Safe mode is ON.\nIt was turned on manually. Use <*> to turn safe mode off.,1224
Unable to enter safemode.,1225
Fetched datanode list for report type DEAD,1226
Retrieved <*> datanodes from the list,1227
Zone data_zone_<*>(<*>) is submitted for re-encryption.,1228
Only a Finalized replica can be appended to; Replica with blk id <*> has state RBW,1229
Append on block <*> returned a replica of state FINALIZED; expected RBW,1230
Block <*> successfully added to volumeMap,1231
Audit log event: rename (options=<*>) <*><*> <*><*>,1232
Access denied for rename (options=<*>) <*><*> <*><*>,1233
Recording a newly allocated block ID <*> in the edit log,1234
AllocateBlockIdOp instance created and block ID <*> set,1235
"OpenFileCtx is inactive, fileId: <*><*>",1236
"Repeated write request which <*> <*> served: xid=<*>, <*> <*>",1237
Added block <*> to file <*><*>,1238
"Block <*> successfully replicated to datanode<*>, datanode<*>, datanode<*>",1239
"Verifying QOP, requested QOP = auth-conf, negotiated QOP = <*>",1240
Socket <*> successfully,1241
Connected to namenode<*>:<*>,1242
Random local interface address fetched: <*>.<*>.<*>.<*>,1243
Peer connection established with key <*>,1244
Socket cleanup initiated,1245
Cannot get a connection to <*> because the manager isn't running,1246
Cannot add more than <*> connections at the same time,1247
We got a closed connection from data_pool_<*>,1248
Tried to read from deleted or moved edit log segment,1249
Tried to read from deleted edit log segment,1250
"RouterStore load cache failed,",1251
Router namenode<*> is not running. Mount table cache will not refresh.,1252
Failed to connect to router at namenode<*>,1253
Fetched paxosFile from <*>,1254
Failed to delete paxosFile at <*>,1255
Successfully deleted paxosFile at <*>,1256
PaxosFile does not exist at <*>,1257
Mapped HA service delegation token for logical URI hdfs:<*><*> to namenode namenode<*>,1258
No HA service delegation token found for logical URI hdfs:<*><*>,1259
Bootstrapping the InMemoryAliasMap from <*>,1260
InMemoryAliasMap enabled with null location,1261
Cannot remove current alias map: <*>,1262
Cannot create directory <*>,1263
Sent OOB response for block <*> on datanode<*>,1264
Skipped OOB response as isDatanode is true,1265
Skipping volume. Volume : <*> Type : HDFS Target Number of bytes : <*>.<*> lowVolume dfsUsed : <*>. Skipping this volume from all future balancing calls.,1266
Breaking hardlink for <*>x-linked block Block-<*>,1267
detachBlock:Block not found. Block-<*>,1268
Create dump file: <*><*>,1269
"Start dump. Before dump, nonSequentialWriteInMemory == <*>",1270
Dump data failed: WriteCtx error OpenFileCtx state: ACTIVE,1271
"After dump, nonSequentialWriteInMemory == <*>",1272
Removed BPOfferService,1273
Couldn't remove BPOS BPOfferService from bpByNameserviceId map,1274
STATE* Safe mode is OFF. It was turned off manually.,1275
Unable to leave safemode.,1276
lastAckedSeqno = -<*>,1277
Connecting to datanode dn<*>,1278
Using local interface <*>.<*>.<*>.<*>,1279
Error transferring data from datanode<*> to datanode<*>,1280
No targets in destination storage!,1281
Downloaded file data_file_<*> size <*> bytes.,1282
Successfully established IOStreamPair with namenode<*>,1283
Trust check completed for user hadoop_user,1284
Auditing event: queryRollingUpgrade,1285
DataNode volume info not available.,1286
Disk failure,1287
Purged old logs from storage pool data_pool_<*>,1288
Starting pre-upgrade process for <*>,1289
Pre-upgrade completed successfully for <*>,1290
Cannot fetch block pool ID metrics: Failed to retrieve namespace info from namenode<*>,1291
Checking delete permission for path <*>,1292
Delete permission <*> for path <*>,1293
Checking snapshot for path <*>,1294
Files removed from path <*>,1295
Deleting files from path <*>,1296
Removing snapshottable directories for path <*>,1297
Removing leases and INodes for path <*>,1298
Removing blocks and updating safemode total for path <*>,1299
No files removed from path <*>,1300
Copied <*> bytes from <*> to <*>,1301
Generated MD<*> hash for block <*>MB,1302
Closed input stream for <*>,1303
Invalid READ request,1304
NFS READ fileHandle: <*> offset: <*> count: <*> client: hadoop_user,1305
"Get error accessing file, fileId: <*>",1306
commitBeforeRead didn’t succeed with ret=<*>,1307
Partial read. Asked offset: <*> count: <*> and read back: <*> file size: <*>,1308
"Cannot rename <*><*> to <*><*>, java.io.IOException: Permission denied",1309
Fetched configuration value for metricsLoggerPeriodSec: <*>,1310
Skipping metrics logger initialization due to invalid period,1311
Initialized async metrics logger with period <*> seconds,1312
Created ScheduledThreadPoolExecutor with core pool size <*>,1313
Set execute existing delayed tasks after shutdown policy to true,1314
Scheduled metrics logger task with initial delay <*> seconds and period <*> seconds,1315
Add replication task from source <*> to target <*> for EC block <*>,1316
Recovering lease for file <*> on namenode<*>,1317
Lease recovery completed successfully for file <*>,1318
Generating new data encryption key because current key is null.,1319
File <*> is closed,1320
"DataTransferProtocol not using SaslPropertiesResolver, no QOP found in configuration for DFS_DATA_TRANSFER_PROTECTION_KEY",1321
"DataTransferProtocol using SaslPropertiesResolver, configured QOP DFS_DATA_TRANSFER_PROTECTION_KEY = auth-conf, configured class DFS_DATA_TRANSFER_SASL_PROPS_RESOLVER_CLASS_KEY = org.apache.hadoop.security.SaslPropertiesResolver",1322
"DataTransferProtocol not using SaslPropertiesResolver, no QOP found in configuration",1323
Edit logged,1324
Successfully invoked sequential RPC call to datanode<*>,1325
Quota verified for block <*><*>,1326
Modification recorded for block <*><*>,1327
Block <*><*> marked as under construction,1328
Lease added for block <*><*>,1329
Last block converted to under construction,1330
Block manager retrieved for block <*><*>,1331
Count updated without quota check for block <*><*>,1332
Edit log updated for block <*><*>,1333
File <*> <*> edit log for block <*><*>,1334
"Unable to rename checkpoint in <*><*>, IOException: Disk full",1335
Downloading missing Edit Log from https:<*>:<*> to <*>,1336
Skipping download of remote edit log editlog_<*> since it's already stored locally at <*><*>,1337
Download of Edit Log file for Syncing failed. Deleting temp file: <*><*>,1338
Deleting <*><*> has failed,1339
Downloaded file editlog_temp_<*> of size <*> bytes.,1340
Parent directory of final file doesn't exist. Aborting tmp segment move to current directory; journal id: <*>,1341
Acquired read lock for user hadoop_user,1342
Checking permissions for path <*>,1343
Permission check completed for user hadoop_user,1344
Released read lock for user hadoop_user,1345
Updated datanode map with <*> entries,1346
Converted data to array successfully,1347
Retrieved slow datanode report for pool-<*>,1348
Set local name for child in <*> directory,1349
Failed to add child to parent directory,1350
Cached name for child in directory,1351
Updated blocks map for file <*><*>,1352
Allocated new block with ID blk_<*>,1353
Set block group size to <*>MB,1354
Writing chunk to block blk_<*>,1355
Failed to write chunk to block blk_<*>,1356
Handling streamer failure for block blk_<*>,1357
Cell buffer is full,1358
Next block index equals number of data blocks,1359
Flipping data buffers for parity calculation,1360
Writing parity cells for block blk_<*>,1361
Set current streamer to new instance,1362
Cell buffer is not full,1363
Current streamer is not healthy,1364
Next block index does not equal number of data blocks,1365
detachFile failed to delete temporary file <*><*>,1366
Created new byte array of size <*>,1367
Initialized DFSPacket with checksum size <*>,1368
Successfully retrieved checksum size <*>,1369
BlockTokenIdentifier id: <*>,1370
Found corruption while reading <*><*>. Error repairing corrupt blocks. Bad blocks remain.,1371
No opened stream for fileId:file<*> commitOffset=<*>. Return success in this case.,1372
Success,1373
Should not get commit return code:COMMIT_ERROR,1374
Inactive with pending write,1375
Special commit success,1376
Block group <*> failed to write <*> blocks. It's at high risk of losing data.,1377
Block group <*> failed to write <*> blocks.,1378
Exception while getting number of live datanodes.,1379
Flush operation succeeded,1380
Force operation succeeded,1381
Close operation succeeded,1382
Could not delete original file <*>,1383
Could not rename temporary file <*> to <*> due to failure in native rename. NativeIOException: Permission denied,1384
Unable to delete tmp file <*>,1385
Node Resolution failed. Please make sure that rack awareness scripts are functional.,1386
FileReader: created mmap of size <*>,1387
"FileReader: mmap error, IOException: File not found",1388
"FileReader: mmap error, RuntimeException: Invalid argument",1389
Updated replica under recovery for block <*> on datanode<*>,1390
"getBlocks(datanode<*>, <*>MB) returns <*> blocks.",1391
Cannot open read stream for <*>,1392
the DfsClientShmManager has been closed.,1393
shared memory segment access is disabled.,1394
waiting for loading to finish...,1395
the UNIX domain socket associated with this short-circuit memory closed before we could make use of the shm.,1396
Exception thrown while running DiskBalancerCLI,1397
"Unable to stop HTTP server for JournalNode, java.io.IOException: Connection refused",1398
null file argument.,1399
Unable to stop HTTP server for journalnode.,1400
Error while stopping web app context for webapp.,1401
Recovered lease lease_<*> for file <*> from client client_<*>,1402
Started recovery for lease lease_<*> on file <*> from client client_<*>,1403
File <*> is already being created by hadoop_user on namenode<*>.,1404
File <*> is under construction but no leases found.,1405
Lease recovery for file <*> is in progress. Try again later.,1406
Another recovery is in progress by client_<*> on namenode<*>.,1407
File <*> lease is currently owned by client_<*> on namenode<*>.,1408
Created RBW replica for block <*> in pool data_pool_<*>,1409
Allocated <*>MB storage for block <*>,1410
Now FSCK to DFSRouter is unstable feature. There may be incompatible changes between releases.,1411
Federated FSCK started by <*> from <*>.<*>.<*>.<*> at <*>-<*>-<*>T<*>:<*>:<*>Z,1412
Fsck error_message,1413
Operation CREATE initiated with no redirect,1414
Temporary redirect to <*>,1415
Operation CREATE initiated with redirect,1416
Operation CREATESYMLINK validated and completed,1417
Operation RENAME validated and completed with <*> <*>,1418
Operation SETOWNER failed: Both owner and group are empty.,1419
Validating request made by hadoop_user,1420
"SecondaryNameNode principal not considered, <*>",1421
isValidRequestor is comparing to valid requestor: hadoop_user,1422
isValidRequestor is allowing: hadoop_user,1423
Stopped decommissioning for node datanode<*>,1424
Recommissioned node datanode<*> in network topology,1425
Processed extra redundancy blocks for node datanode<*>,1426
Stopped tracking node datanode<*>,1427
"stopDecommission: Node datanode<*> in IN_SERVICE, nothing to do.",1428
Incremented write operations count,1429
Incremented storage statistics OpCounter,1430
Applying UMask,1431
FsPathBooleanRunner is running,1432
Invalidating <*> from namenode<*>,1433
Removing <*>,1434
Location cache after invalidation: <*> entries,1435
set new mode: <*>,1436
set atime: <*> mtime: <*>,1437
Encountered exception while tailing edits >= <*> via RPC; falling back to streaming.,1438
Closed InMemoryLevelDBAliasMapClient connection,1439
Sending cacheReport from service actor: this,1440
CacheReport of <*> block(s) took <*> msecs to generate and <*> msecs for RPC and NN processing,1441
DatanodeManager.addDatanode: node datanode<*> is added to datanodeMap.,1442
Error: status failed for <*> <*> <*>,1443
Error: status failed for (journal journal_and_stream),1444
Cleared sortedQueue,1445
Processing volume <*><*>,1446
Volume <*><*> is not failed and not skipped,1447
Volume <*><*> <*> <*> is <*>,1448
Skipping misconfigured volume <*><*>,1449
Total capacity is <*>MB,1450
Truncated decimals for volume <*><*>,1451
Set volume data density for <*><*>,1452
Added volume <*><*> to sortedQueue,1453
Nameservice ns-<*> disabled successfully.,1454
Unable to disable Nameservice ns-<*>,1455
"Cannot disable ns-<*>, it does not exist",1456
"Cannot register namenode, router ID is not known router-<*>",1457
Concurrent operation invoked successfully,1458
Processing values from ret.values(),1459
"Proxying operation: operationName, methodName",1460
Added storage space for block <*>,1461
Fetched storage policy ID <*> for type quota,1462
Processed type quota for supported types,1463
Returning from execution,1464
"No last block found, returning from execution",1465
The MountTableResolver cannot find a location for <*>,1466
Cannot find resolver for order <*>,1467
Ordered locations following <*> are <*>,1468
Cannot get main namespace for path <*> with order <*>,1469
enqueue block_<*>,1470
Created symbolic link from <*> to <*>,1471
Fetched latest FSImage from namenode<*>,1472
Preconditions checked for non-null values,1473
FSEditStream has <*> bytes still to be flushed and cannot be closed.,1474
IOUtils cleanup completed successfully,1475
Parallel Image loading and saving is not supported when DFSConfigKeys.DFS_IMAGE_COMPRESS_KEY is set to true. Parallel will be disabled.,1476
Selected storage groups for balancing,1477
Balancer process started successfully,1478
Invalid input format,1479
DIR* FSDirectory.renameTo: <*> to <*>,1480
DIR* renameTo: <*> to <*>,1481
Start persisting RamDisk block: block pool Id: pool-<*> block id: <*> on target volume <*><*>,1482
Failed to save replica block_<*>. re-enqueueing it.,1483
getECTopologyResultForPolicies,1484
Erasure coding policies added,1485
Audit log for operation addErasureCodingPolicies,1486
InMemoryAliasMap location <*> is missing. Creating it.,1487
"Invocation returned standby exception on <*>, proxyInfo, ex",1488
"Invocation returned exception on <*>, proxyInfo, ex",1489
"Invalid READDIR request, with negative cookie: -<*>",1490
Nonpositive count in invalid READDIR request: <*>,1491
"NFS READDIR fileHandle: FileHandle{inodeId=<*>, generation=<*>, path=<*>} cookie: <*> count: <*> client: <*>.<*>.<*>.<*>",1492
HandleAddBlockPoolError called with empty exception list,1493
IllegalArgumentException: Too few arguments provided. Expected at least <*>.,1494
Refresh user to groups mapping <*> for address,1495
Refresh user to groups mapping successful,1496
Refreshing user-to-group mappings for namespace: hdfs_namespace,1497
<*> is a deprecated filesystem name. Use <*> instead.,1498
buildTokenServiceForLogicalUri,1499
Unsupported protocol found when creating the proxy connection to NameNode: null,1500
Adding replicas to map for block pool on volume <*><*><*>,1501
Time to add replicas to map for block pool on volume : <*>ms,1502
Total time to add all replicas to map for block pool : <*>ms,1503
Caught exception while adding replicas from <*><*><*> Will throw later.,1504
Datanode datanode<*> is using BR lease id <*>x<*> to bypass rate-limiting.,1505
BR lease <*>x<*> is not valid for unknown datanode datanode<*>,1506
"BR lease <*>x<*> is not valid for DN datanode<*>, because the DN is not in the pending set.",1507
"BR lease <*>xabcdef is not valid for DN datanode<*>, because the lease has expired.",1508
BR lease <*>x<*> is not valid for DN datanode<*>. Expected BR lease <*>xfedcba.,1509
BR lease <*>x<*>a<*>b<*>c is valid for DN datanode<*>.,1510
Cancelling delegation token for hadoop_user,1511
Setting delegation token identifier,1512
Logging edit operation,1513
Encryption zone removed for inode,1514
Exception while checking heartbeat,1515
Skipping next heartbeat scan due to excessive pause,1516
"Expecting boolean object for setting checking recent image, but got string",1517
Received an invalid request file transfer request from a secondary with storage info.,1518
"No block has been moved for <*> iterations, maximum notChangedIterations before exit is: <*>",1519
Executing <*> command.,1520
"Got a repeated request, same range, with a different xid: <*> xid in old request: <*>",1521
Is namenode in safemode? true; uri=hdfs:<*>:<*>,1522
Failed to end target block due to IOException: Connection reset,1523
Removing expired block report lease <*>x<*>A<*>B<*>C<*>D for DN datanode<*>.,1524
"Unable to cleanup tmp dir: <*><*>_<*>, java.io.IOException: Failed to delete",1525
Finalizing upgrade for local dirs.,1526
Start linking block files from <*><*><*> to <*><*><*>,1527
There are <*> duplicate block entries within the same volume.,1528
Took <*> ms to collect <*> open files with leases <*>,1529
Analyzing storage directories for bpid pool-<*>,1530
BLOCK* addToInvalidates: storedBlock datanodes,1531
Couldn't create proxy provider null,1532
Stopping SPS Manager.,1533
Closing block manager safe mode.,1534
Interrupting redundancy thread.,1535
Interrupting block report thread.,1536
Interrupting marked delete block scrubber thread.,1537
Joining redundancy thread.,1538
Joining block report thread.,1539
Interrupted while waiting.,1540
Closing datanode manager.,1541
Stopping pending reconstructions.,1542
Closing blocks map.,1543
"Proxy for https:<*><*>:<*> failed. cause: Connection refused, cause",1544
Removing block pool bpid-<*>,1545
"Couldn't report bad block blk_<*> to datanode<*>, java.io.IOException: Connection refused",1546
Completed block movement. <*>,1547
Exception while moving block replica to target storage type,1548
"Stopping NamenodeHeartbeat service for, NS nameservice<*> NN namenode<*>, nameservice<*>, namenode<*>",1549
Failed to get the used capacity,1550
Unable to extract metrics: Input stream closed,1551
BLOCK* removeStoredBlock: blk_<*> from datanode<*>,1552
BLOCK* removeStoredBlock: blk_<*> removed from caching related lists on node datanode<*>,1553
"LazyWriter was interrupted, exiting",1554
Ignoring exception in LazyWriter:,1555
Excluding DataNodes when allocating new block: <*>,1556
Allocating new block group. The previous block group: BlockGroupInfo{blockGroupId=<*>},1557
"Cannot allocate parity block(index=<*>, policy=RS-<*>-<*>). Exclude nodes=<*>. There may not be enough datanodes or racks...",1558
Current active thread number: <*> queue size: <*> scheduled task number: <*>,1559
AsyncDataService is already shutdown,1560
Failed to move some block's after <*> retries.,1561
User hdfs NN namenode<*>:<*> is using connection Connection@<*>,1562
"SafeMode is in inconsistent filesystem state. BlockManagerSafeMode data: blockTotal=<*>, blockSafe=<*>; BlockManager data: activeBlocks=<*>",1563
NFS COMMIT fileHandle: file_handle_<*> offset=<*> count=<*> client: <*>.<*>.<*>.<*>,1564
Invalid COMMIT request,1565
Doing checkpoint. Last applied: <*>,1566
Waiting until the NameNode rolls its edit logs in order to freeze the BackupNode namespace.,1567
BackupNode namespace frozen.,1568
Checkpointer about to load edits from <*> stream(s).,1569
Reading edits expecting start transaction ID #<*> log suppressed,1570
Start loading edits file edits_<*> maxTxnsToRead = <*>,1571
"Loaded <*> edits file(s) (the last named edits_<*>) of total size <*>, total edits <*>, total load time <*> ms",1572
Unable to roll forward using only logs. Downloading image with txid <*>,1573
Checkpoint completed in <*>.<*> seconds. New Image Size: <*>,1574
Refusing to leave safe mode without a force flag. Exiting safe mode will cause a deletion of <*> byte(s). Please use -forceExit flag to exit safe mode forcefully if data loss is acceptable.,1575
Number of storages reported in heartbeat=<*>; Number of storages in storageMap=<*>,1576
Removed storage disk_<*> from DataNode datanode<*>,1577
Deferring removal of stale storage disk_<*> with <*> blocks,1578
handleWrite org.apache.hadoop.nfs.nfs<*>.request.WRITE<*>Request,1579
No opened stream for fileHandle: file_handle_<*>,1580
"Can't append file: <*> Possibly the file is being closed. Drop the request: write_request, wait for the client to retry...",1581
"Can't close stream for fileHandle: file_handle_<*>, java.io.IOException: Stream closed",1582
Write lock <*>,1583
Validity of parameters checked,1584
New generation stamp and access token set,1585
Log synchronized,1586
Located block with new generation stamp and access token,1587
Operation category is WRITE,1588
Checking operation category is WRITE,1589
Checking validity of parameters,1590
Ensuring new generation stamp is recorded,1591
Checking superuser privilege,1592
Operation unchecked,1593
Checking operation unchecked,1594
Getting datanode storage report,1595
Audit log: Operation successful,1596
DatanodeCommand action from standby NN namenode<*>: DNA_ACCESSKEYUPDATE,1597
Got a command from standby NN namenode<*> - ignoring command: DNA_ERASURE_CODING_RECONSTRUCTION,1598
Unknown DatanodeCommand action: UNKNOWN_COMMAND from standby NN namenode<*>,1599
Checkpoint Period : <*> secs (<*> min),1600
"Transactions count is : <*>, to trigger checkpoint",1601
"Audit: operation=reencryptEncryptionZone, src=<*>, dst=null, perm=null, proto=rpc, user=hdfs",1602
"Storage directory <*><*> does not exist, rootPath",1603
"Cached location of block blk_<*> as <*>, Block block_<*>",1604
File <*><*> skipped re-encryption because edek's key version name is not changed.,1605
File <*> skipped re-encryption because it is not encrypted! This is very likely a bug.,1606
Failed to find datanode datanode<*>,1607
freeing empty stale shm_segment,1608
Snapshot diff report generated.,1609
"Audit: operation=getFileInfo, src=<*>, dst=null, perm=READ, proto=rpc, user=test_user",1610
Starting maintenance of datanode-<*> <*><*> with <*> blocks,1611
"startMaintenance: Node datanode-<*> in NORMAL, nothing to do.",1612
NFS NULL,1613
Got access token error in response to OP_BLOCK_CHECKSUM for file <*> for block blk_<*> from datanode datanode<*>. Will retry the block once.,1614
"src=<*>, datanodes<*>=datanode<*>",1615
Skipped checking <*><*>. Time since last check <*>ms is less than the min gap <*>ms.,1616
Scheduling a check for <*><*>,1617
key = value (default=default_value),1618
Cannot fetch mount table entries from State Store,1619
Removed stale mount point <*> from resolver,1620
Invalidating <*> from MountTableResolver,1621
Removing entry,1622
Location cache after invalidation: {},1623
Added new mount point <*> to resolver,1624
Entry has changed from <*> to <*>,1625
Updated mount point <*> in resolver,1626
Stopping BPOfferServices for nameservices: hdfs:<*><*>,1627
Refreshing list of NNs for nameservices: hdfs:<*><*>,1628
"Cannot initialize ZK node for <*>: java.lang.Exception: ZK error, java.lang.Exception, ZK error message",1629
Can't get local NN thread dump due to java.net.SocketTimeoutException: Read timed out,1630
Exception in closing input stream,1631
"-- Local NN thread dump --, Thread dump data",1632
Using default hostname namenode<*>,1633
FSImageFormatPBSnapshot: Missing referred INodeId <*>,1634
